lineNum,countryCode,year,sex,sport,sportcode,goldInSport,silverInSport,bronzeInSport,goldInSportCode,silverInSportCode,bronzeInSportCode,goldInSportCodeSex,silverInSportCodeSex,bronzeInSportCodeSex,athletesBaseThisYear,athletesCodeThisYear,athletesSexThisYear,athletesBothThisYear,athletesLastYear,athletesCodeLastYear,athletesSexLastYear,athletesBothLastYear
2352,42,31,1,12,19,2,0,2,0,0,0,0,0,0,0,0,0,0,538,1,264,0
2353,42,31,1,12,20,2,0,2,0,0,0,0,0,0,0,0,0,0,538,1,264,1
2354,42,31,1,12,21,2,0,2,0,0,0,0,0,0,0,0,0,0,538,2,264,1
2355,42,31,1,12,22,2,0,2,0,0,0,0,0,0,0,0,0,0,538,6,264,3
2356,42,31,1,12,23,2,0,2,1,0,1,1,0,1,0,0,0,0,538,40,264,20
2357,42,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,274,0
2358,42,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,274,0
2359,42,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,274,0
2360,42,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,274,0
2361,42,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,274,0
2362,42,31,1,14,29,0,0,2,0,0,1,0,0,1,0,0,0,0,538,24,264,9
2363,42,31,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2364,42,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2365,42,31,1,17,32,44,0,72,36,0,36,22,0,36,0,0,0,0,538,19,264,19
2366,42,31,1,18,33,0,0,0,1,0,0,0,0,0,0,0,0,0,538,4,264,2
2367,42,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,538,76,274,43
2368,42,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,274,0
2369,42,31,1,19,36,2,0,2,0,0,1,0,0,1,0,0,0,0,538,1,264,1
2370,42,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2371,42,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2372,42,31,1,22,39,2,0,4,1,2,5,1,0,5,0,0,0,0,538,14,264,4
2373,42,31,1,24,41,0,0,0,24,0,12,0,0,12,0,0,0,0,538,0,264,0
2374,42,31,1,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2375,42,31,1,29,46,52,74,40,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2376,42,31,1,29,47,52,74,40,59,99,65,26,37,65,0,0,0,0,538,11,264,11
2377,42,31,1,30,48,0,28,24,0,14,12,0,14,12,0,0,0,0,538,14,264,14
2378,42,31,1,30,49,0,28,24,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2379,42,31,1,31,50,0,0,0,0,10,15,0,0,15,0,0,0,0,538,6,264,4
2380,42,31,1,32,51,2,0,0,4,13,7,1,0,7,0,0,0,0,538,4,264,1
2381,42,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,538,4,264,1
2382,42,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2383,42,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2384,42,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,538,1,264,1
2385,42,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,538,6,264,1
2386,42,31,1,38,57,0,2,4,0,1,2,0,1,2,0,0,0,0,538,2,264,2
2387,42,31,1,39,58,4,4,2,4,3,4,2,2,4,0,0,0,0,538,10,264,4
2388,42,31,1,40,59,0,0,0,1,1,0,0,0,0,0,0,0,0,538,3,264,1
2389,42,31,1,42,61,0,4,0,0,2,2,0,2,2,0,0,0,0,538,6,264,4
2390,42,31,1,42,62,0,4,0,0,0,0,0,0,0,0,0,0,0,538,13,264,0
2391,42,31,1,44,64,2,2,2,1,3,1,1,1,1,0,0,0,0,538,8,264,5
2392,42,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2393,42,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,264,0
2394,43,31,1,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2395,43,31,1,0,1,6,0,4,0,0,0,0,0,0,0,0,0,0,185,18,82,1
2396,43,31,1,0,2,6,0,4,0,0,0,0,0,0,0,0,0,0,185,3,82,0
2397,43,31,1,0,3,6,0,4,3,0,2,3,0,2,0,0,0,0,185,27,82,15
2398,43,31,1,0,4,6,0,4,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2399,43,31,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2400,43,31,1,2,6,0,2,0,4,2,0,0,1,0,0,0,0,0,185,31,82,17
2401,43,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,185,2,82,1
2402,43,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,103,0
2403,43,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2404,43,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2405,43,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2406,43,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,185,7,82,3
2407,43,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2408,43,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2409,43,31,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2410,43,31,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2411,43,31,1,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2412,43,31,1,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,185,4,82,1
2413,43,31,1,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,185,11,82,11
2414,43,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,103,0
2415,43,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,103,0
2416,43,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,103,0
2417,43,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,103,0
2418,43,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,103,0
2419,43,31,1,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2420,43,31,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,185,17,82,0
2421,43,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2422,43,31,1,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2423,43,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,185,4,82,2
2424,43,31,0,19,34,1,0,0,1,0,0,1,0,0,0,0,0,0,185,2,103,2
2425,43,31,0,19,35,1,0,0,0,0,0,0,0,0,0,0,0,0,185,0,103,0
2426,43,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2427,43,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2428,43,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2429,43,31,1,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2430,43,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2431,43,31,1,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2432,43,31,1,29,46,0,0,8,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2433,43,31,1,29,47,0,0,8,4,2,6,0,0,6,0,0,0,0,185,16,82,10
2434,43,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,185,28,82,14
2435,43,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2436,43,31,1,31,50,0,2,0,0,3,0,0,1,0,0,0,0,0,185,4,82,1
2437,43,31,1,32,51,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2438,43,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2439,43,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2440,43,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2441,43,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2442,43,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2443,43,31,1,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,185,1,82,0
2444,43,31,1,39,58,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2445,43,31,1,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2446,43,31,1,42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2447,43,31,1,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2448,43,31,1,44,64,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2449,43,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2450,43,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,82,0
2451,44,31,1,0,0,228,228,160,0,0,0,0,0,0,0,0,0,0,649,11,319,0
2452,44,31,1,0,1,228,228,160,3,10,15,1,4,15,0,0,0,0,649,33,319,6
2453,44,31,1,0,2,228,228,160,0,0,1,0,0,1,0,0,0,0,649,5,319,3
2454,44,31,1,0,3,228,228,160,155,184,166,100,97,166,0,0,0,0,649,103,319,46
2455,44,31,1,0,4,228,228,160,13,13,26,13,13,26,0,0,0,0,649,26,319,13
2456,44,31,1,1,5,0,0,0,1,0,4,0,0,4,0,0,0,0,649,4,319,1
2457,44,31,1,2,6,34,36,32,25,40,35,17,18,35,0,0,0,0,649,90,319,45
2458,44,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,649,3,319,3
2459,44,31,0,4,8,0,24,0,0,24,0,0,24,0,0,0,0,0,649,0,330,0
2460,44,31,1,5,10,0,72,70,0,0,0,0,0,0,0,0,0,0,649,5,319,5
2461,44,31,1,5,11,0,72,70,0,36,47,0,36,47,0,0,0,0,649,23,319,11
2462,44,31,1,9,15,8,0,2,2,4,2,0,0,2,0,0,0,0,649,14,319,7
2463,44,31,1,9,16,8,0,2,4,0,1,4,0,1,0,0,0,0,649,8,319,4
2464,44,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2465,44,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2466,44,31,1,12,19,4,0,2,1,0,1,0,0,1,0,0,0,0,649,2,319,1
2467,44,31,1,12,20,4,0,2,1,0,0,1,0,0,0,0,0,0,649,3,319,2
2468,44,31,1,12,21,4,0,2,0,0,0,0,0,0,0,0,0,0,649,1,319,1
2469,44,31,1,12,22,4,0,2,1,0,1,1,0,1,0,0,0,0,649,8,319,4
2470,44,31,1,12,23,4,0,2,5,2,11,0,0,11,0,0,0,0,649,37,319,17
2471,44,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,330,0
2472,44,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,330,0
2473,44,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,330,0
2474,44,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,330,0
2475,44,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,330,0
2476,44,31,1,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2477,44,31,1,15,30,96,0,0,64,63,79,48,0,79,0,0,0,0,649,35,319,18
2478,44,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2479,44,31,1,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,649,19,319,19
2480,44,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,649,4,319,2
2481,44,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,649,40,330,8
2482,44,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,649,6,330,6
2483,44,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,649,1,319,0
2484,44,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2485,44,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2486,44,31,1,22,39,0,0,2,0,0,2,0,0,2,0,0,0,0,649,3,319,2
2487,44,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2488,44,31,1,25,42,2,0,0,1,0,0,1,0,0,0,0,0,0,649,1,319,1
2489,44,31,1,29,46,14,12,36,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2490,44,31,1,29,47,14,12,36,30,56,76,7,6,76,0,0,0,0,649,38,319,22
2491,44,31,1,30,48,24,0,0,12,0,0,12,0,0,0,0,0,0,649,25,319,13
2492,44,31,1,30,49,24,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2493,44,31,1,31,50,8,6,0,26,18,14,4,3,14,0,0,0,0,649,12,319,4
2494,44,31,1,32,51,4,0,8,5,1,6,2,0,6,0,0,0,0,649,15,319,5
2495,44,31,1,33,52,2,0,0,3,0,0,1,0,0,0,0,0,0,649,9,319,5
2496,44,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,649,2,319,1
2497,44,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2498,44,31,1,36,55,0,0,0,0,1,1,0,0,1,0,0,0,0,649,4,319,2
2499,44,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,649,12,319,5
2500,44,31,1,38,57,2,0,0,1,1,0,1,0,0,0,0,0,0,649,3,319,1
2501,44,31,1,39,58,0,0,10,4,3,8,0,0,8,0,0,0,0,649,15,319,6
2502,44,31,1,40,59,2,4,4,1,2,2,1,2,2,0,0,0,0,649,4,319,2
2503,44,31,1,42,61,4,4,4,2,2,2,2,2,2,0,0,0,0,649,6,319,2
2504,44,31,1,42,62,4,4,4,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2505,44,31,1,44,64,0,0,0,1,1,2,0,0,2,0,0,0,0,649,5,319,2
2506,44,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2507,44,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,319,0
2508,45,31,1,0,0,10,4,22,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2509,45,31,1,0,1,10,4,22,0,0,0,0,0,0,0,0,0,0,161,2,71,1
2510,45,31,1,0,2,10,4,22,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2511,45,31,1,0,3,10,4,22,11,8,12,5,2,12,0,0,0,0,161,12,71,6
2512,45,31,1,0,4,10,4,22,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2513,45,31,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,71,0
2514,45,31,1,2,6,4,14,2,9,22,6,2,7,6,0,0,0,0,161,40,71,10
2515,45,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,71,1
2516,45,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,90,0
2517,45,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2518,45,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2519,45,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,161,8,71,4
2520,45,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2521,45,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2522,45,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2523,45,31,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,71,0
2524,45,31,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,71,1
2525,45,31,1,12,21,0,0,0,0,0,1,0,0,1,0,0,0,0,161,2,71,1
2526,45,31,1,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,161,3,71,2
2527,45,31,1,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,161,2,71,0
2528,45,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,90,0
2529,45,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,90,0
2530,45,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,90,0
2531,45,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,90,0
2532,45,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,90,0
2533,45,31,1,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,71,0
2534,45,31,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,161,33,71,17
2535,45,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2536,45,31,1,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2537,45,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,161,4,71,2
2538,45,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,161,6,90,0
2539,45,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,90,0
2540,45,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2541,45,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2542,45,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2543,45,31,1,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,71,1
2544,45,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2545,45,31,1,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2546,45,31,1,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2547,45,31,1,29,47,0,0,0,4,2,2,0,0,2,0,0,0,0,161,3,71,1
2548,45,31,1,30,48,0,0,0,0,0,26,0,0,26,0,0,0,0,161,26,71,13
2549,45,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2550,45,31,1,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2551,45,31,1,32,51,0,0,0,0,5,0,0,0,0,0,0,0,0,161,0,71,0
2552,45,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,161,3,71,1
2553,45,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,161,4,71,2
2554,45,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2555,45,31,1,36,55,0,2,0,0,1,0,0,1,0,0,0,0,0,161,3,71,1
2556,45,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2557,45,31,1,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2558,45,31,1,39,58,0,0,0,4,3,1,0,0,1,0,0,0,0,161,0,71,0
2559,45,31,1,40,59,0,0,0,0,0,1,0,0,1,0,0,0,0,161,3,71,1
2560,45,31,1,42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2561,45,31,1,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2562,45,31,1,44,64,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,71,0
2563,45,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2564,45,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,71,0
2565,46,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2566,46,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2567,46,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2568,46,31,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,3,1
2569,46,31,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2570,46,31,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2571,46,31,1,2,6,0,0,0,0,0,1,0,0,1,0,0,0,0,12,8,3,2
2572,46,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2573,46,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2574,46,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2575,46,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2576,46,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2577,46,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2578,46,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2579,46,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2580,46,31,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2581,46,31,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2582,46,31,1,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2583,46,31,1,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,3,0
2584,46,31,1,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2585,46,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2586,46,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2587,46,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2588,46,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2589,46,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2590,46,31,1,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2591,46,31,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2592,46,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2593,46,31,1,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2594,46,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2595,46,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2596,46,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2597,46,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2598,46,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2599,46,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2600,46,31,1,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2601,46,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2602,46,31,1,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2603,46,31,1,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2604,46,31,1,29,47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2605,46,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2606,46,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2607,46,31,1,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2608,46,31,1,32,51,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2609,46,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2610,46,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2611,46,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2612,46,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2613,46,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2614,46,31,1,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2615,46,31,1,39,58,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2616,46,31,1,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2617,46,31,1,42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2618,46,31,1,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2619,46,31,1,44,64,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2620,46,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2621,46,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0
2622,47,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2623,47,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2624,47,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2625,47,31,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,1
2626,47,31,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2627,47,31,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2628,47,31,1,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,4,3,2
2629,47,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2630,47,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0
2631,47,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2632,47,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2633,47,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2634,47,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2635,47,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2636,47,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2637,47,31,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2638,47,31,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2639,47,31,1,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2640,47,31,1,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2641,47,31,1,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0
2642,47,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0
2643,47,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0
2644,47,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0
