lineNum,countryCode,year,sex,sport,sportcode,goldInSport,silverInSport,bronzeInSport,goldInSportCode,silverInSportCode,bronzeInSportCode,goldInSportCodeSex,silverInSportCodeSex,bronzeInSportCodeSex,athletesBaseThisYear,athletesCodeThisYear,athletesSexThisYear,athletesBothThisYear,athletesLastYear,athletesCodeLastYear,athletesSexLastYear,athletesBothLastYear,goldThisYear,silverThisYear,bronzeThisYear
3773,66,31,1,9,15,0,0,0,0,0,0,0,0,0,119,3,26,2,119,3,26,2,0,0,0
3774,66,31,1,9,16,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3775,66,31,1,10,17,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3776,66,31,1,11,18,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3777,66,31,1,12,19,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3778,66,31,1,12,20,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3779,66,31,1,12,21,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3780,66,31,1,12,22,0,0,0,0,0,0,0,0,0,119,4,26,3,119,4,26,3,0,0,0
3781,66,31,1,12,23,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3782,66,31,0,13,24,0,0,0,0,0,0,0,0,0,119,0,93,0,119,0,93,0,0,0,0
3783,66,31,0,13,25,0,0,0,0,0,0,0,0,0,119,0,93,0,119,0,93,0,0,0,0
3784,66,31,0,13,26,0,0,0,0,0,0,0,0,0,119,0,93,0,119,0,93,0,0,0,0
3785,66,31,0,13,27,0,0,0,0,0,0,0,0,0,119,0,93,0,119,0,93,0,0,0,0
3786,66,31,0,13,28,0,0,0,0,0,0,0,0,0,119,0,93,0,119,0,93,0,0,0,0
3787,66,31,1,14,29,0,0,0,0,0,0,0,0,0,119,1,26,1,119,1,26,1,0,0,0
3788,66,31,1,15,30,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3789,66,31,1,16,31,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3790,66,31,1,17,32,0,0,0,0,0,1,0,0,1,119,21,26,0,119,21,26,0,0,0,1
3791,66,31,1,18,33,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3792,66,31,0,19,34,0,0,0,0,0,0,0,0,0,119,18,93,18,119,18,93,18,0,0,0
3793,66,31,0,19,35,0,0,0,0,0,0,0,0,0,119,6,93,6,119,6,93,6,0,0,0
3794,66,31,1,19,36,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3795,66,31,1,20,37,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3796,66,31,1,20,37,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3797,66,31,1,22,39,2,0,0,1,2,7,1,0,7,119,24,26,5,119,24,26,5,0,0,1
3798,66,31,1,24,41,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3799,66,31,1,25,42,0,0,0,0,0,0,0,0,0,119,1,26,1,119,1,26,1,0,0,0
3800,66,31,1,29,46,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3801,66,31,1,29,47,0,0,0,0,0,0,0,0,0,119,3,26,1,119,3,26,1,0,0,0
3802,66,31,1,30,48,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3803,66,31,1,30,49,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3804,66,31,1,31,50,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3805,66,31,1,32,51,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3806,66,31,1,33,52,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3807,66,31,1,34,53,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3808,66,31,1,35,54,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3809,66,31,1,36,55,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3810,66,31,1,37,56,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3811,66,31,1,38,57,0,2,0,2,1,0,0,1,0,119,5,26,2,119,5,26,2,0,0,0
3812,66,31,1,39,58,0,0,2,0,0,1,0,0,1,119,0,26,0,119,0,26,0,0,0,0
3813,66,31,1,40,59,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3814,66,31,1,42,61,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3815,66,31,1,42,62,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3816,66,31,1,44,64,0,0,0,2,1,0,0,0,0,119,10,26,3,119,10,26,3,0,0,0
3817,66,31,1,45,65,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3818,66,31,1,45,66,0,0,0,0,0,0,0,0,0,119,0,26,0,119,0,26,0,0,0,0
3819,67,31,1,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3820,67,31,1,0,1,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3821,67,31,1,0,2,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3822,67,31,1,0,3,0,0,0,0,0,0,0,0,0,17,3,5,1,17,3,5,1,0,0,0
3823,67,31,1,0,4,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3824,67,31,1,1,5,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3825,67,31,1,2,6,0,0,0,0,0,0,0,0,0,17,1,5,1,17,1,5,1,0,0,0
3826,67,31,1,3,7,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3827,67,31,0,4,8,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3828,67,31,1,5,10,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3829,67,31,1,5,11,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3830,67,31,1,9,15,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3831,67,31,1,9,16,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3832,67,31,1,10,17,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3833,67,31,1,11,18,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3834,67,31,1,12,19,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3835,67,31,1,12,20,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3836,67,31,1,12,21,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3837,67,31,1,12,22,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3838,67,31,1,12,23,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3839,67,31,0,13,24,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3840,67,31,0,13,25,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3841,67,31,0,13,26,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3842,67,31,0,13,27,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3843,67,31,0,13,28,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3844,67,31,1,14,29,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3845,67,31,1,15,30,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3846,67,31,1,16,31,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3847,67,31,1,17,32,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3848,67,31,1,18,33,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3849,67,31,0,19,34,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3850,67,31,0,19,35,0,0,0,0,0,0,0,0,0,17,0,12,0,17,0,12,0,0,0,0
3851,67,31,1,19,36,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3852,67,31,1,20,37,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3853,67,31,1,20,37,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3854,67,31,1,22,39,0,0,0,0,0,1,0,0,1,17,2,5,0,17,2,5,0,0,0,0
3855,67,31,1,24,41,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3856,67,31,1,25,42,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3857,67,31,1,29,46,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3858,67,31,1,29,47,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3859,67,31,1,30,48,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3860,67,31,1,30,49,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3861,67,31,1,31,50,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3862,67,31,1,32,51,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3863,67,31,1,33,52,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3864,67,31,1,34,53,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3865,67,31,1,35,54,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3866,67,31,1,36,55,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3867,67,31,1,37,56,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3868,67,31,1,38,57,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3869,67,31,1,39,58,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3870,67,31,1,40,59,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3871,67,31,1,42,61,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3872,67,31,1,42,62,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3873,67,31,1,44,64,0,0,0,0,0,0,0,0,0,17,10,5,3,17,10,5,3,0,0,0
3874,67,31,1,45,65,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3875,67,31,1,45,66,0,0,0,0,0,0,0,0,0,17,0,5,0,17,0,5,0,0,0,0
3876,68,31,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3877,68,31,1,0,1,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3878,68,31,1,0,2,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3879,68,31,1,0,3,0,0,0,0,0,0,0,0,0,14,2,3,1,14,2,3,1,0,0,0
3880,68,31,1,0,4,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3881,68,31,1,1,5,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3882,68,31,1,2,6,0,0,0,1,0,0,0,0,0,14,1,3,0,14,1,3,0,0,0,0
3883,68,31,1,3,7,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3884,68,31,0,4,8,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3885,68,31,1,5,10,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3886,68,31,1,5,11,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3887,68,31,1,9,15,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3888,68,31,1,9,16,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3889,68,31,1,10,17,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3890,68,31,1,11,18,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3891,68,31,1,12,19,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3892,68,31,1,12,20,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3893,68,31,1,12,21,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3894,68,31,1,12,22,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3895,68,31,1,12,23,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3896,68,31,0,13,24,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3897,68,31,0,13,25,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3898,68,31,0,13,26,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3899,68,31,0,13,27,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3900,68,31,0,13,28,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3901,68,31,1,14,29,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3902,68,31,1,15,30,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3903,68,31,1,16,31,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3904,68,31,1,17,32,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3905,68,31,1,18,33,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3906,68,31,0,19,34,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3907,68,31,0,19,35,0,0,0,0,0,0,0,0,0,14,0,11,0,14,0,11,0,0,0,0
3908,68,31,1,19,36,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3909,68,31,1,20,37,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3910,68,31,1,20,37,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3911,68,31,1,22,39,0,0,0,0,0,3,0,0,3,14,6,3,0,14,6,3,0,0,0,0
3912,68,31,1,24,41,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3913,68,31,1,25,42,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3914,68,31,1,29,46,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3915,68,31,1,29,47,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3916,68,31,1,30,48,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3917,68,31,1,30,49,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3918,68,31,1,31,50,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3919,68,31,1,32,51,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3920,68,31,1,33,52,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3921,68,31,1,34,53,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3922,68,31,1,35,54,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3923,68,31,1,36,55,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3924,68,31,1,37,56,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3925,68,31,1,38,57,0,0,0,0,0,0,0,0,0,14,1,3,1,14,1,3,1,0,0,0
3926,68,31,1,39,58,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3927,68,31,1,40,59,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3928,68,31,1,42,61,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3929,68,31,1,42,62,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3930,68,31,1,44,64,0,0,0,0,0,0,0,0,0,14,1,3,0,14,1,3,0,0,0,0
3931,68,31,1,45,65,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3932,68,31,1,45,66,0,0,0,0,0,0,0,0,0,14,0,3,0,14,0,3,0,0,0,0
3933,69,31,1,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3934,69,31,1,0,1,2,4,10,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
3935,69,31,1,0,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3936,69,31,1,0,3,2,4,10,11,14,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0
3937,69,31,1,0,4,2,4,10,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
3938,69,31,1,1,5,0,0,8,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3939,69,31,1,2,6,18,24,2,12,14,3,9,12,3,0,0,0,0,0,0,0,0,0,0,0
3940,69,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3941,69,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3942,69,31,1,5,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943,69,31,1,5,11,24,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3944,69,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3945,69,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3946,69,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,69,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3948,69,31,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3949,69,31,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3950,69,31,1,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3951,69,31,1,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,69,31,1,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3953,69,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3954,69,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3955,69,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3956,69,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3957,69,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3958,69,31,1,14,29,0,0,2,5,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,1
3959,69,31,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3960,69,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3961,69,31,1,17,32,16,2,4,19,5,4,8,1,4,0,0,0,0,0,0,0,0,0,0,0
3962,69,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3963,69,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3964,69,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3965,69,31,1,19,36,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3966,69,31,1,20,37,0,0,52,12,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
3967,69,31,1,20,37,0,0,52,12,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
3968,69,31,1,22,39,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3969,69,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3970,69,31,1,25,42,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3971,69,31,1,29,46,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3972,69,31,1,29,47,0,0,8,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3973,69,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3974,69,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3975,69,31,1,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3976,69,31,1,32,51,4,0,0,5,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3977,69,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3978,69,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3979,69,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3980,69,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3981,69,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3982,69,31,1,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3983,69,31,1,39,58,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3984,69,31,1,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3985,69,31,1,42,61,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3986,69,31,1,42,62,0,16,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
3987,69,31,1,44,64,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3988,69,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3989,69,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990,70,31,1,0,0,14,52,94,0,0,0,0,0,0,598,11,234,0,598,11,234,0,0,0,0
3991,70,31,1,0,1,14,52,94,0,1,4,0,0,4,598,20,234,3,598,20,234,3,0,0,0
3992,70,31,1,0,2,14,52,94,0,0,0,0,0,0,598,2,234,1,598,2,234,1,0,0,0
3993,70,31,1,0,3,14,52,94,30,63,86,7,26,86,598,50,234,20,598,50,234,20,0,0,0
3994,70,31,1,0,4,14,52,94,0,0,0,0,0,0,598,13,234,0,598,13,234,0,0,0,0
3995,70,31,1,1,5,0,0,6,0,3,8,0,0,8,598,9,234,1,598,9,234,1,0,0,0
3996,70,31,1,2,6,6,4,2,8,16,10,3,2,10,598,64,234,18,598,64,234,18,0,0,0
3997,70,31,1,3,7,4,4,6,2,2,7,2,2,7,598,12,234,6,598,12,234,6,0,0,3
3998,70,31,0,4,8,39,20,44,39,20,44,39,20,44,598,0,364,0,598,0,364,0,0,0,0
3999,70,31,1,5,10,0,24,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4000,70,31,1,5,11,0,24,0,0,12,0,0,12,0,598,24,234,12,598,24,234,12,0,0,0
4001,70,31,1,9,15,0,0,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4002,70,31,1,9,16,0,0,0,0,0,0,0,0,0,598,7,234,4,598,7,234,4,0,0,0
4003,70,31,1,10,17,0,0,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4004,70,31,1,11,18,0,0,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4005,70,31,1,12,19,0,2,0,0,0,0,0,0,0,598,1,234,0,598,1,234,0,0,0,0
4006,70,31,1,12,20,0,2,0,0,0,0,0,0,0,598,2,234,2,598,2,234,2,0,0,0
4007,70,31,1,12,21,0,2,0,0,0,0,0,0,0,598,1,234,1,598,1,234,1,0,0,0
4008,70,31,1,12,22,0,2,0,0,0,0,0,0,0,598,2,234,1,598,2,234,1,0,0,0
4009,70,31,1,12,23,0,2,0,0,1,0,0,1,0,598,34,234,14,598,34,234,14,0,0,0
4010,70,31,0,13,24,0,0,0,0,0,0,0,0,0,598,0,364,0,598,0,364,0,0,0,0
4011,70,31,0,13,25,0,0,0,0,0,0,0,0,0,598,0,364,0,598,0,364,0,0,0,0
4012,70,31,0,13,26,0,0,0,0,0,0,0,0,0,598,0,364,0,598,0,364,0,0,0,0
4013,70,31,0,13,27,0,0,0,0,0,0,0,0,0,598,0,364,0,598,0,364,0,0,0,0
4014,70,31,0,13,28,0,0,0,0,0,0,0,0,0,598,0,364,0,598,0,364,0,0,0,0
4015,70,31,1,14,29,0,0,16,9,9,8,0,0,8,598,30,234,15,598,30,234,15,0,0,4
4016,70,31,1,15,30,0,0,0,0,11,0,0,0,0,598,16,234,16,598,16,234,16,0,0,0
4017,70,31,1,16,31,0,0,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4018,70,31,1,17,32,0,36,12,59,65,69,0,18,69,598,43,234,22,598,43,234,22,0,0,0
4019,70,31,1,18,33,0,2,0,6,1,2,0,1,2,598,4,234,2,598,4,234,2,0,0,0
4020,70,31,0,19,34,9,4,2,9,4,2,9,4,2,598,70,364,42,598,70,364,42,7,0,1
4021,70,31,0,19,35,9,4,2,0,0,0,0,0,0,598,0,364,0,598,0,364,0,0,0,0
4022,70,31,1,19,36,0,0,2,0,0,0,0,0,0,598,2,234,1,598,2,234,1,0,0,0
4023,70,31,1,20,37,0,0,0,0,0,0,0,0,0,598,14,234,0,598,14,234,0,0,0,0
4024,70,31,1,20,37,0,0,0,0,0,0,0,0,0,598,14,234,0,598,14,234,0,0,0,0
4025,70,31,1,22,39,32,20,28,51,47,30,16,10,30,598,28,234,7,598,28,234,7,0,0,0
4026,70,31,1,24,41,0,0,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4027,70,31,1,25,42,0,0,0,0,1,0,0,0,0,598,2,234,1,598,2,234,1,0,0,0
4028,70,31,1,29,46,0,0,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4029,70,31,1,29,47,0,0,0,0,0,0,0,0,0,598,5,234,2,598,5,234,2,0,0,0
4030,70,31,1,30,48,0,0,0,0,0,0,0,0,0,598,26,234,13,598,26,234,13,0,0,0
4031,70,31,1,30,49,0,0,0,0,0,0,0,0,0,598,0,234,0,598,0,234,0,0,0,0
4032,70,31,1,31,50,0,4,0,0,4,2,0,2,2,598,7,234,2,598,7,234,2,0,0,0
